,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
345,bacalar,25,MX,1563081741,86,18.68,-88.39,298.897,1.79
346,bacolod,100,PH,1563081742,76,10.68,122.95,301.197,5.67
347,goba,100,ET,1563081742,88,7.01,39.97,283.897,1.39
348,moron,1,HT,1563081743,80,18.56,-74.26,299.297,1.47
349,jacareacanga,49,BR,1563081743,73,-6.22,-57.76,295.997,0.7
350,north bend,90,US,1563081744,93,43.41,-124.22,290.93,5.7
351,bambous virieux,40,MU,1563081744,56,-20.34,57.76,296.15,3.6
352,cravo norte,100,CO,1563081745,95,6.3,-70.2,296.297,1.89
353,aswan,0,EG,1563081745,24,24.09,32.9,305.15,3.1
354,camocim,0,BR,1563081746,90,-2.9,-40.84,294.497,2.65
355,salisbury,7,GB,1563081747,87,51.07,-1.8,288.15,3.1
356,tigil,67,RU,1563081747,64,57.8,158.67,292.397,5.62
357,albina,23,GF,1563081748,99,5.5,-54.06,294.797,0.65
358,buchanan,40,LR,1563081748,94,5.88,-10.05,296.15,3.95
359,tieling,23,CN,1563081749,43,42.29,123.84,302.897,2.81
360,caborca,77,MX,1563081750,55,30.58,-111.1,302.04,12.06
361,magistralnyy,67,RU,1563081750,34,56.17,107.45,297.797,2.69
362,emerald,53,AU,1563081644,34,-23.53,148.16,292.15,6.7
363,makhu,90,IN,1563081751,88,31.11,74.97,297.15,3.1
364,arrah,75,IN,1563081752,74,25.56,84.66,303.15,3.1
365,magdagachi,84,RU,1563081752,85,53.45,125.8,295.597,2.5
366,julio de castilhos,100,BR,1563081753,98,-29.23,-53.68,288.397,1.71
367,lismore,0,AU,1563081754,25,-28.81,153.28,291.15,3.6
368,dingle,100,PH,1563081755,80,11.0,122.67,301.297,2.97
369,adra,20,ES,1563081756,88,36.75,-3.02,293.15,2.6
370,shinpokh,20,PK,1563081756,55,34.33,71.18,305.15,3.1
371,pangnirtung,96,CA,1563081758,60,66.15,-65.72,281.497,0.43
372,san lawrenz,0,MT,1563081758,65,36.06,14.2,299.26,4.6
373,nanga eboko,100,CM,1563081759,99,4.68,12.37,293.397,1.27
374,taltal,91,CL,1563081759,78,-25.41,-70.49,282.697,0.61
375,bonavista,100,CA,1563081759,93,48.65,-53.11,284.197,6.1
376,yeppoon,74,AU,1563081760,13,-23.13,150.74,294.15,3.1
377,ludvika,32,SE,1563081760,93,60.15,15.18,288.71,1.5
378,san patricio,100,PY,1563081761,96,-26.98,-56.83,290.997,1.67
379,sukpak,99,RU,1563081762,50,51.65,94.27,295.797,4.12
380,marzuq,42,YE,1563081762,22,14.4,46.47,304.597,3.07
381,bulgan,71,MN,1563081737,65,48.81,103.53,295.197,3.99
382,iskateley,61,RU,1563081763,56,67.68,53.15,290.897,4.05
383,huehuetan,99,MX,1563081764,89,15.02,-92.38,297.197,1.94
384,reconquista,100,AR,1563081765,90,-29.14,-59.64,286.897,3.02
